Ordem segundo o IDH;Bairro ou grupo de bairros;Esperança de vida ao nascer (em anos);Taxa de alfabetização de adultos (%);Taxa bruta de frequência escolar (%);Renda per capita (em R$ de 2000);Índice de Longevidade (IDH-L);Índice de Educação (IDH-E);Índice de Renda (IDH-R);Índice de Desenvolvimento Humano Municipal (IDH)
46;Zumbi, Pitangueiras, Praia da Bandeira;73,53;96,9;91,34;517,83;0,809;0,95;0,816;0,858
47;Ramos;73,94;97,13;88,7;508,76;0,816;0,943;0,813;0,857
48;Engenho de Dentro;72,66;96,67;92,77;536,54;0,794;0,954;0,822;0,857
49;Abolição;73,28;97,07;95,69;467,23;0,805;0,966;0,799;0,857
50;Deodoro, Vila Militar, Campo dos Afonsos, Jardim Sulacap;73,59;97,75;93,26;462,13;0,81;0,963;0,797;0,856
51;Oswaldo Cruz;73,59;97,75;94,12;441,34;0,81;0,965;0,789;0,855
52;Olaria;73,87;96,93;90,95;460,31;0,814;0,949;0,796;0,853
53;Bento Ribeiro;75,05;97,95;88,15;399,85;0,834;0,947;0,773;0,851
54;Piedade;72,66;97,08;95,51;447,64;0,794;0,966;0,792;0,85
55;Quintino Bocaiúva;73,91;96,8;91,97;424,67;0,815;0,952;0,783;0,85
56;Rio Comprido;70,28;97;92,6;590,26;0,755;0,955;0,838;0,849
57;Praça Seca;71,7;96,18;91,79;498,32;0,778;0,947;0,81;0,845
58;Jardim América;72,66;97,03;87,72;426,12;0,794;0,939;0,783;0,839
59;Jacaré, Rocha, Sampaio;70,64;95,9;90,65;513,62;0,761;0,941;0,815;0,839
60;Freguesia;70,28;95,23;89,35;557,35;0,755;0,933;0,828;0,839
61;Jardim Carioca;72,66;95,97;86,23;436,33;0,794;0,927;0,787;0,836
62;Engenho da Rainha;73,36;96,93;89,2;362,62;0,806;0,944;0,757;0,835
63;Brás de Pina;72,66;96,45;88,41;397,15;0,794;0,938;0,772;0,835
64;São Cristóvão, Vasco da Gama;72,27;95,44;89,08;412,39;0,788;0,933;0,778;0,833
65;Cascadura;72,15;95,97;86,35;428,76;0,786;0,928;0,785;0,833
66;Parque Anchieta;73,71;96,31;87,17;355,31;0,812;0,933;0,753;0,833
67;Madureira;70,97;96,81;90,42;419,81;0,766;0,947;0,781;0,831
68;Pilares;72,55;96,79;86,05;389,81;0,793;0,932;0,769;0,831
69;Tanque;71,49;95,95;86,87;439,87;0,775;0,929;0,789;0,831
70;Estácio;73,71;94,09;80,82;413,05;0,812;0,897;0,778;0,829
71;Curicica;72,57;96,15;88,33;362,72;0,793;0,935;0,757;0,828
72;Penha Circular;71,15;96,23;83,38;444,77;0,769;0,919;0,791;0,826
73;Benfica;73,59;94,5;81,35;376,65;0,81;0,901;0,763;0,825
74;Paquetá;74,06;94,22;67,66;457,61;0,818;0,854;0,795;0,822
75;Itanhangá;70,28;91,44;74,3;650,96;0,755;0,857;0,854;0,822
76;Tauá;71,24;93,2;83,99;416,19;0,771;0,901;0,78;0,817
77;Rocha Miranda;70,99;96,62;87,07;338,1;0,766;0,934;0,745;0,815
78;Marechal Hermes;70,11;96,09;87,78;366,28;0,752;0,933;0,758;0,814
79;Turiaçu;70,11;97,37;87,15;336,57;0,752;0,94;0,744;0,812
80;Guadalupe;70,11;97,27;85,58;336,89;0,752;0,934;0,744;0,81
81;Inhaúma;70,64;96,39;86,56;324,3;0,761;0,931;0,738;0,81
82;Campo Grande;69,8;95,98;87,42;351,11;0,747;0,931;0,751;0,81
83;Cavalcanti, Engenheiro Leal, Vaz Lobo;70,41;96,29;84,68;328,64;0,757;0,924;0,74;0,807
84;Ricardo de Albuquerque;70,97;96,42;89,06;283;0,766;0,94;0,715;0,807
85;Coelho Neto;70,86;96,88;84,77;299,89;0,764;0,928;0,725;0,806
86;Padre Miguel;70,11;95,72;87,21;313,85;0,752;0,929;0,732;0,804
87;Penha;69,59;95,12;82,23;373,05;0,743;0,908;0,761;0,804
88;Honório Gurgel;69,88;96,56;88,09;303,98;0,748;0,937;0,727;0,804
89;Realengo;69,63;95,97;87,44;316,41;0,744;0,931;0,734;0,803
90;Senador Vasconcelos;69,68;95,88;88,68;302,44;0,745;0,935;0,726;0,802
91;Tomás Coelho;69,88;95,89;83,8;325,92;0,748;0,919;0,739;0,802
92;Magalhães Bastos;68,9;95,72;90,24;318,03;0,732;0,939;0,735;0,802
93;Catumbi;69,6;95,81;85,41;324,83;0,743;0,923;0,738;0,802
94;Mangueira, São Francisco Xavier;68,34;94,2;88,51;357,43;0,722;0,923;0,754;0,8
95;Vista Alegre, Irajá;62,81;98,08;92,99;473,39;0,63;0,964;0,801;0,798
96;Bangu;69,78;95,45;82,95;296,55;0,746;0,913;0,723;0,794
97;Saúde, Gamboa, Santo Cristo;70,28;94,21;77,52;320,57;0,755;0,886;0,736;0,792
98;Cordovil;68,32;95,83;87,92;290,49;0,722;0,932;0,72;0,791
99;Pavuna;69,27;95,96;82,51;286,38;0,738;0,915;0,717;0,79
100;Anchieta;68,9;95,65;84,75;278,18;0,732;0,92;0,712;0,788
101;Santíssimo;69,36;95,04;80,94;256,08;0,739;0,903;0,698;0,78
102;Galeão, Cidade Universitária;67,79;93,92;80,64;300,31;0,713;0,895;0,725;0,778
103;Vicente de Carvalho;67,51;93,79;78,52;296,63;0,709;0,887;0,723;0,773
104;Jacarepaguá;67,51;90,18;77,14;331,44;0,709;0,858;0,742;0,769
105;Senador Camará;67,39;93,63;83,67;251,09;0,707;0,903;0,695;0,768
106;Gardênia Azul;67,79;93,78;76,4;274,68;0,713;0,88;0,71;0,768
107;Vigário Geral;66,66;93,52;74,73;296,6;0,694;0,873;0,723;0,763
108;Colégio;67,33;94,52;74,33;262,37;0,706;0,878;0,703;0,762
109;Sepetiba;66,3;93,64;79,65;264,8;0,688;0,89;0,704;0,761
110;Cosmos;67,51;94,86;82,17;205,9;0,709;0,906;0,662;0,759
111;Caju;68,9;90,43;71,97;236,59;0,732;0,843;0,685;0,753
112;Paciência;66,66;94,36;81,02;203,43;0,694;0,899;0,66;0,751
113;Cidade de Deus;66,66;93,56;81,1;207,56;0,694;0,894;0,663;0,751
114;Barros Filho;66,66;93,6;82,15;198,96;0,694;0,898;0,656;0,75
115;Inhoaíba;65,99;93,63;81,38;207,61;0,683;0,895;0,663;0,747
116;Camorim, Vargem Pequena, Vargem Grande;66,3;90,8;69,28;279,09;0,688;0,836;0,713;0,746
117;Parada de Lucas;65,35;92,38;82,15;220,27;0,672;0,89;0,673;0,745
118;Guaratiba, Barra de Guaratiba, Pedra de Guaratiba;66,66;90,74;74,37;234,37;0,694;0,853;0,684;0,744
119;Santa Cruz;65,52;93,19;79,82;206,23;0,675;0,887;0,662;0,742
120;Rocinha;67,33;87,9;69,5;219,95;0,706;0,818;0,673;0,732
121;Jacarezinho;66,3;92,2;75,68;177,98;0,688;0,867;0,638;0,731
122;Manguinhos;66,3;91,48;69,64;188,86;0,688;0,842;0,648;0,726
123;Maré;66,58;89,46;68,76;187,25;0,693;0,826;0,646;0,722
124;Acari, Parque Colúmbia;63,93;91,68;79,44;174,12;0,649;0,876;0,634;0,72
125;Costa Barros;63,93;91,34;74,09;175;0,649;0,856;0,635;0,713
126;Complexo do Alemão;64,79;89,07;72,04;177,31;0,663;0,834;0,637;0,711
