_id,Protocolo,data,hora,natureza,situacao,bairro,endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,sentido_via,tipo,auto,moto,ciclista,pedestre,onibus,caminhao,viatura,vitimas,vitimasfatais
16,202300167,2023-01-03 0:00:00,4:10:00,SEM VÍTIMA,FINALIZADA,,AV BRASILIA FORMOSA,RUA SERRA,,,SUBURBIO,COLISÃO TRANSVERSAL,1,0,0,0,0,0,0,0,0
17,202300172,2023-01-03 0:00:00,5:39:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,AV RECIFE,AV ESTANCIA,PROX AO ARMAZÉM CORAL  S/T BR,ESTÂNCIA,SUBURBIO,COLISÃO COM CICLISTA,0,1,1,0,0,0,0,1,0
18,202300176,2023-01-03 0:00:00,7:29:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE AO AEROPORTO,IMBIRIBEIRA,CIDADE,COLISÃO FRONTAL,0,0,0,0,1,1,0,0,0
19,202300181,2023-01-03 0:00:00,10:20:00,COM VÍTIMA,FINALIZADA,SÃO JOSÉ,RUA IMPERIAL,RUA BOM SUCESSO,,SÃO JOSÉ,,COLISÃO FRONTAL,2,0,0,0,0,0,0,2,0
20,202300182,2023-01-03 0:00:00,11:01:00,SEM VÍTIMA,FINALIZADA,IBURA,AV SANTA FE,,POSTO DE SAUDE DO UR2,IBURA,,COLISÃO TRANSVERSAL,3,0,0,0,0,0,0,0,0
21,202300190,2023-01-04 0:00:00,6:12:00,SEM VÍTIMA,CANCELADA,TEJIPIÓ,AV DR JOSE RUFINO,,PROX. AO ARMAZEM CORAL,TEJIPIÓ,,COLISÃO TRASEIRA,1,0,0,0,0,1,0,0,0
22,202300204,2023-01-04 0:00:00,8:00:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,AV RECIFE,RUA LAURA BANDEIRA DE MELLO,,ESTÂNCIA,,COLISÃO FRONTAL,0,2,0,0,0,0,0,2,0
23,202300210,2023-01-04 0:00:00,8:54:00,COM VÍTIMA,FINALIZADA,VÁRZEA,AV CAXANGA,RUA RODRIGUES FERREIRA,PROX. AO RESIDENCIAL JARDIM CAXANGA,VÁRZEA,CIDADE,COLISÃO TRASEIRA,0,2,0,0,0,0,0,3,0
24,202300216,2023-01-04 0:00:00,9:46:00,COM VÍTIMA,FINALIZADA,TORRE,RUA MARQUES DE MARICA,,PRÓX. À PRAÇA PROFESSOR CAMPELO,TORRE,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
25,202300239,2023-01-04 0:00:00,1:54:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,AÇAI ATACADISTA,BOA VIAGEM,,QUEDA,0,1,0,0,0,0,0,1,0
26,202300241,2023-01-04 0:00:00,2:13:00,COM VÍTIMA,FINALIZADA,JOANA BEZERRA,VIADUTO CAPITAO TEMUDO,,NO VIADUTO MESMO,JOANA BEZERRA,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
27,202300275,2023-01-05 0:00:00,6:55:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV JOAO DE BARROS,AV GOVERNADOR AGAMENON MAGALHAES,AO LADO DO NÚMERO 2778,SANTO AMARO,SUBURBIO,COLISÃO TRASEIRA,0,2,0,0,0,0,0,2,0
28,202300286,2023-01-05 0:00:00,7:44:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,PROX A PRIMEIRA LOMBADA ELETRONICA SENTIDO CIDADE,BOA VIAGEM,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
29,202300312,2023-01-05 0:00:00,1:11:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,RUA PROFESSOR OSIAS RIBEIRO,PROX A PADARIA AUGUSTA,BOA VIAGEM,,COLISÃO LATERAL,0,1,0,0,0,0,1,1,0
30,202300320,2023-01-05 0:00:00,4:15:00,COM VÍTIMA,FINALIZADA,IBURA,RUA DR OTAVIO DE MORAES VASCONCELOS,RUA VALE DO CARIRI,NA FRENTE DA PADARIA ALIANÇA,IBURA,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
31,202300321,2023-01-05 0:00:00,4:26:00,COM VÍTIMA,FINALIZADA,TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,,E/F A MICHEL ELETRICA  S/T BR,TORRÕES,SUBURBIO,COLISÃO COM CICLISTA,0,0,1,0,1,0,0,1,0
32,202300322,2023-01-05 0:00:00,12:00:00,COM VÍTIMA,DUPLICIDADE,MANGUEIRA,RUA SAO MIGUEL,RUA OLEGARIO MARIANO,,MANGUEIRA,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0
33,202300323,2023-01-05 0:00:00,5:13:00,COM VÍTIMA,FINALIZADA,MANGUEIRA,RUA SAO MIGUEL,RUA OLEGARIO MARIANO,EM FRENTE AO ATACAREJO SHOPPING,MANGUEIRA,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0
34,202300352,2023-01-06 0:00:00,7:32:00,COM VÍTIMA,FINALIZADA,GRAÇAS,AV RUI BARBOSA,RUA ALBERTO PAIVA,AO LADO DA CHEVROLET,GRAÇAS,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
35,202300356,2023-01-06 0:00:00,8:57:00,VÍTIMA FATAL,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,,AO LADO DO HOSPITAL GETULIO VARGAS,CORDEIRO,SUBURBIO,ATROPELAMENTO DE PESSOA,0,1,0,1,0,0,0,0,1
36,202300361,2023-01-06 0:00:00,10:22:00,COM VÍTIMA,FINALIZADA,SANCHO,AV LIBERDADE,AV TEMPO FELIZ,EM FRENTE AO CEMITÉRIO PARQUE DAS FLORES,SANCHO,CIDADE,ATROPELAMENTO DE PESSOA,0,1,0,1,0,0,0,1,0
37,202300366,2023-01-06 0:00:00,11:20:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,RUA DA HARMONIA,RUA REDENTOR,PRÓX. À CASA DE FESTAS PLANETA A,CASA AMARELA,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
38,202300367,2023-01-06 0:00:00,11:34:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA ITACARI,RUA ITAMARACA,PROX. RC COMPONENTES,IMBIRIBEIRA,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
39,202300376,2023-01-06 0:00:00,12:53:00,SEM VÍTIMA,FINALIZADA,IPSEP,RUA ABDIAS CABRAL DE MOURA,RUA SAO NICOLAU,EM FRENTE A LOJA DE VEÍCULOS SPORTCAR,IPSEP,,COLISÃO TRANSVERSAL,0,1,0,0,0,0,1,0,0
40,202300378,2023-01-06 0:00:00,1:49:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,,RESTAURANTE PONTEIO,BOA VIAGEM,SUBURBIO,COLISÃO COM CICLISTA,0,0,1,0,1,0,0,1,0
41,202300388,2023-01-06 0:00:00,4:16:00,COM VÍTIMA,FINALIZADA,ENCRUZILHADA,RUA DONA ELVIRA,RUA DA CORAGEM,NA RUA DA QUITANDARIA  PROX A IGREJA DA ESTRADA DE BELEM,ENCRUZILHADA,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
42,202300395,2023-01-06 0:00:00,5:16:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV CRUZ CABUGA,,E/F AO TACARUNA   NA PARADA DE ONIBUS  S/T OLINDA,SANTO AMARO,SUBURBIO,ATROPELAMENTO DE PESSOA,0,0,0,1,1,0,0,1,0
43,202300412,2023-01-06 0:00:00,10:11:00,COM VÍTIMA,CANCELADA,VÁRZEA,RUA AGRICOLANDIA,,PROX. AO HOSPITAL HAPIVIDA,VÁRZEA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
44,202300417,2023-01-06 0:00:00,11:17:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV DES JOSE NEVES,,DB DIAGNÓSTICO,BOA VIAGEM,SUBURBIO,CHOQUE,2,0,0,0,0,0,0,0,0
45,202300424,2023-01-07 0:00:00,6:12:00,COM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,"EM FRENTE AO TRIBUNAL REGIONAL, SENT. BOA VIAGEM",DERBY,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
46,202300430,2023-01-07 0:00:00,8:17:00,SEM VÍTIMA,FINALIZADA,COHAB,RUA DR BENIGNO JORDAO DE VASCONCELOS,,APÓS A SEMENTEIRA DO JACARE,COHAB,SUBURBIO,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0
47,202300464,2023-01-07 0:00:00,4:57:00,COM VÍTIMA,FINALIZADA,ILHA DO RETIRO,AV BEIRA RIO,RUA JOAQUIM NABUCO,PROX A LOJA DE PNEUS DUN LOPES,ILHA DO RETIRO,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
48,202300470,2023-01-07 0:00:00,6:16:00,SEM VÍTIMA,FINALIZADA,CAXANGÁ,AV CAXANGA,,NO MEIO DO VIADUTO,CAXANGÁ,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0
49,202300476,2023-01-07 0:00:00,11:09:00,SEM VÍTIMA,FINALIZADA,IBURA,AV DOM HELDER CAMARA,,,IBURA,,COLISÃO TRASEIRA,1,0,0,0,0,0,1,0,0
50,202300505,2023-01-08 0:00:00,11:25:00,COM VÍTIMA,FINALIZADA,IPUTINGA,RUA ADEMAR PIRES TRAVASSO,,PROX AO COLEGIO SEDEC,IPUTINGA,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
51,202300510,2023-01-08 0:00:00,1:13:00,COM VÍTIMA,FINALIZADA,PINA,AV ANTONIO DE GOES,,DE FRENTE A PRF,PINA,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
52,202300533,2023-01-08 0:00:00,7:31:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,AV NORTE MIGUEL ARRAES DE ALENCAR,EST MORRO DA CONCEICAO,DESCIDA DO MORRO DA CONCEIÇÃO,CASA AMARELA,SUBURBIO,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,2,0
53,202300542,2023-01-09 0:00:00,7:55:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV NORTE MIGUEL ARRAES DE ALENCAR,,"SOBRE O VIADUTO, EM FRENTE A JEEP / SENTIDO BOA VIAGEM",SANTO AMARO,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
54,202300547,2023-01-09 0:00:00,8:54:00,COM VÍTIMA,FINALIZADA,MANGABEIRA,AV NORTE MIGUEL ARRAES DE ALENCAR,,EM FRENTE A PIZZARIA IMPÉRIO,MANGABEIRA,,COLISÃO TRASEIRA,0,1,0,0,1,0,0,1,0
55,202300551,2023-01-09 0:00:00,9:41:00,SEM VÍTIMA,FINALIZADA,ÁGUA FRIA,RUA DR EUDES COSTA,RUA BELO JARDIM,EM FRENTE LU REFEIÇÕES,ÁGUA FRIA,,,1,0,0,0,0,0,1,0,0
56,202300561,2023-01-09 0:00:00,12:18:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,AV DR EURICO CHAVES,,PROX AO BREGOSO BUGUER,CASA AMARELA,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
57,202300564,2023-01-09 0:00:00,1:13:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA GENERAL GOES MONTEIRO,,POR TRÁS DO GRAU TÉCNICO,IMBIRIBEIRA,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
58,202300572,2023-01-09 0:00:00,3:22:00,SEM VÍTIMA,FINALIZADA,IBURA,RUA PINTOR LULA CARDOSO AYRES,,RECIFE FERRAGENS,IBURA,SUBURBIO,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0
59,202300576,2023-01-09 0:00:00,3:47:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,RUA JOSE VELOSO,RUA APULCRO DE ASSUNCAO,PRÓXIMO A PRAÇA DA CAVALARIA,SAN MARTIN,CIDADE,COLISÃO TRANSVERSAL,1,0,0,0,0,0,1,0,0
60,202300591,2023-01-09 0:00:00,6:41:00,COM VÍTIMA,FINALIZADA,MADALENA,AV VISCONDE DE ALBUQUERQUE,,ASTRAL MULTI MARCAS,MADALENA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
61,202300615,2023-01-10 0:00:00,8:08:00,COM VÍTIMA,FINALIZADA,GRAÇAS,RUA PROFESSOR RUI BATISTA,,TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO,GRAÇAS,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
62,202300623,2023-01-10 0:00:00,10:32:00,COM VÍTIMA,FINALIZADA,BOA VISTA,RUA GERVASIO PIRES,,EM FRENTE AO MERCADINHO NOSSA SENHORA DO CARMO,BOA VISTA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
63,202300637,2023-01-10 0:00:00,1:25:00,COM VÍTIMA,FINALIZADA,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,,LADO OPOSTO AO REAL HOSPITAL PORTUGUÊS,PAISSANDU,,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
64,202300638,2023-01-10 0:00:00,1:30:00,COM VÍTIMA,FINALIZADA,PAISSANDU,RUA PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,BANCO SAFRA,PAISSANDU,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
65,202300666,2023-01-11 0:00:00,6:37:00,SEM VÍTIMA,FINALIZADA,TEJIPIÓ,AV DR JOSE RUFINO,,AO LADO DA TONY ALBUQUERQUE DELICATESEN,TEJIPIÓ,,CHOQUE,1,0,0,0,0,0,0,0,0
66,202300677,2023-01-11 0:00:00,10:14:00,COM VÍTIMA,FINALIZADA,JORDÃO,AV MARECHAL MASCARENHAS DE MORAES,,PROX AO AEROPORTO,JORDÃO,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
67,202300680,2023-01-11 0:00:00,11:11:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV CRUZ CABUGA,AV DR JAYME DA FONTE,PROX. AO HOSPITAL DA MARINHA,SANTO AMARO,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
68,202300714,2023-01-11 0:00:00,3:59:00,COM VÍTIMA,FINALIZADA,ÁGUA FRIA,RUA SAO SEBASTIAO,,FARMÁCIA DO TRABALHADOR / ELIANE BOUTIQUE,ÁGUA FRIA,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
69,202300725,2023-01-11 0:00:00,5:29:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA TENENTE DOMINGOS DE BRITO,RUA RIBEIRO DE BRITO,EM FRENTE A FARMACIA DROGASIL,BOA VIAGEM,,COLISÃO TRASEIRA,0,0,0,0,2,0,0,4,0
70,202300730,2023-01-11 0:00:00,7:11:00,COM VÍTIMA,FINALIZADA,PINA,AV HERCULANO BANDEIRA,RUA NOGUEIRA DE SOUZA,EM FRENTE A JBS MOTORS,PINA,,COLISÃO FRONTAL,0,0,1,0,0,0,0,1,0
71,202300731,2023-01-11 0:00:00,7:44:00,COM VÍTIMA,FINALIZADA,IPUTINGA,RUA PEREIRA COUTINHO FILHO,,COLÉGIO INSTITUTO SANTA TEREZINHA,IPUTINGA,,COLISÃO FRONTAL,1,0,1,0,0,0,0,1,0
72,202300761,2023-01-12 0:00:00,8:36:00,COM VÍTIMA,FINALIZADA,ROSARINHO,AV NORTE MIGUEL ARRAES DE ALENCAR,AV NORTE MIGUEL ARRAES DE ALENCAR,PROXIMO A DELICATESSEN ROSARINHO,ROSARINHO,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
73,202300764,2023-01-12 0:00:00,9:04:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,PRÓXIMO À ESTAÇÃO DA MARINHA,BOA VIAGEM,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
74,202300769,2023-01-12 0:00:00,10:45:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,RUA DELMIRO GOUVEIA,,EM FRENTE A CHESF,SAN MARTIN,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
75,202300778,2023-01-12 0:00:00,12:09:00,COM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,,EM FRENTE AO BIG BOMPREÇO DA AV RECIFE,AREIAS,,COLISÃO TRASEIRA,0,2,0,0,0,0,0,2,0
76,202300785,2023-01-12 0:00:00,1:11:00,COM VÍTIMA,FINALIZADA,CAXANGÁ,RUA GENERAL POLIDORO,,EM FRENTE A CONCESSIONARIA ITALIANA,CAXANGÁ,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
77,202300786,2023-01-12 0:00:00,2:21:00,COM VÍTIMA,FINALIZADA,IPUTINGA,AV MAURICIO DE NASSAU,,PROXIMO AO ALTINO VENTURA E A AUTO FILME EQUIPADORA,IPUTINGA,,COLISÃO FRONTAL,1,1,0,0,0,0,0,2,0
78,202300795,2023-01-12 0:00:00,5:03:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,E/F AO RESTAURANTE DOM FERREIRA FORNERIA,BOA VIAGEM,,COLISÃO TRASEIRA,0,1,0,0,1,0,0,1,0
79,202300802,2023-01-12 0:00:00,5:24:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,,EM FRENTE A IGREJA PENTECOSTAL,SAN MARTIN,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
80,202300805,2023-01-12 0:00:00,5:54:00,COM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,RUA IMPERADOR PEDRO SEGUNDO,,EM FRENTE A OAB,SANTO ANTÔNIO,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
81,202300817,2023-01-12 0:00:00,7:57:00,COM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,,EM FRENTE A LOJA DE BATERIAS  HELIAR,IPSEP,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0
82,202300851,2023-01-13 0:00:00,11:09:00,COM VÍTIMA,FINALIZADA,MADALENA,RUA BENFICA,AV VISCONDE DE ALBUQUERQUE,PROX. AO POSTO DE GASOLINA IPIRANGA,MADALENA,,COLISÃO LATERAL,1,0,0,0,1,0,0,1,0
83,202300853,2023-01-13 0:00:00,11:25:00,COM VÍTIMA,FINALIZADA,AFOGADOS,EST DOS REMEDIOS,RUA DO ACRE,EM FRENTE A FEIRA LIVRE DE AFOGADOS E O MERCADO PÚBLICO.  NO SENTIDO MADALENA  / IMBIRIBEIRA,AFOGADOS,,ATROPELAMENTO DE PESSOA,0,0,0,1,0,1,0,1,0
84,202300871,2023-01-13 0:00:00,1:46:00,SEM VÍTIMA,FINALIZADA,CASA AMARELA,COR DO BARTOLOMEU,,CATIA MODAS,CASA AMARELA,,COLISÃO TRASEIRA,1,0,0,0,0,0,1,0,0
85,202300872,2023-01-13 0:00:00,2:05:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA RIBEIRO DE BRITO,,EM FRENTE AO HOTEL NACIONAL,BOA VIAGEM,,COLISÃO LATERAL,0,1,0,0,0,1,0,1,0
86,202300886,2023-01-13 0:00:00,4:31:00,COM VÍTIMA,CANCELADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE ADVENTURE  RACING /SENTIDO AFOGADOS,IMBIRIBEIRA,,COLISÃO TRASEIRA,0,1,0,0,0,1,0,1,0
87,202300894,2023-01-13 0:00:00,5:23:00,COM VÍTIMA,FINALIZADA,ILHA JOANA BEZERRA,VDO PAPA JOAO PAULO II,,INÍCIO DO VIADUTO PAPA JOÃO PAULO II - FÓRUM JOANA BEZERRA,ILHA JOANA BEZERRA,,COLISÃO TRASEIRA,0,0,0,0,0,0,0,1,0
88,202300897,2023-01-13 0:00:00,5:59:00,COM VÍTIMA,FINALIZADA,JORDÃO,AV MARIA IRENE,,"JORDÃO BAIXO SENTIDO CENTRO SUBÚRBIO ENVOLVIDOS V-1 RZQ2B99 MOTOCICLETA , V-2 PCS 3C40 ,",JORDÃO,SUBURBIO,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
89,202300904,2023-01-13 0:00:00,7:45:00,COM VÍTIMA,FINALIZADA,BOA VISTA,AV CONDE DA BOA VISTA,RUA OSVALDO CRUZ,,BOA VISTA,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
90,202300929,2023-01-14 0:00:00,9:00:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,AV NORTE MIGUEL ARRAES DE ALENCAR,AV PROFESSOR JOSE DOS ANJOS,EM FRENTE AO SESC DE CASA AMARELA,CASA AMARELA,,COLISÃO LATERAL,1,0,0,0,1,0,0,1,0
91,202300930,2023-01-14 0:00:00,9:04:00,COM VÍTIMA,FINALIZADA,CIDADE UNIVERSITÁRIA,AV PROFESSOR ARTUR DE SA,,PROX AO CEMITÉRIO DA VÁRZEA,CIDADE UNIVERSITÁRIA,,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
92,202300933,2023-01-14 0:00:00,9:24:00,COM VÍTIMA,FINALIZADA,ESPINHEIRO,RUA CONS PORTELA,AV JOAO DE BARROS,PORTRÁS DA ESCOLA ITEPAN,ESPINHEIRO,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
93,202300937,2023-01-14 0:00:00,9:55:00,COM VÍTIMA,FINALIZADA,SANCHO,AV LIBERDADE,,EM FRENTE A FARMÁCIA DROGASIL,SANCHO,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
94,202300952,2023-01-14 0:00:00,2:26:00,COM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,,EM FRENTE AO ANTIGO BOMPREÇO / SENTIDO BOA VIAGEM,IPSEP,,COLISÃO TRASEIRA,0,2,0,0,0,0,0,1,0
95,202300956,2023-01-14 0:00:00,3:02:00,COM VÍTIMA,FINALIZADA,PINA,AV HERCULANO BANDEIRA,RUA MANOEL CORIOLANO,RUA MANOEL CORIOLANO,PINA,,COLISÃO COM CICLISTA,1,0,1,0,0,0,0,1,0
96,202300967,2023-01-14 0:00:00,6:52:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,AV ENGENHEIRO ABDIAS DE CARVALHO,,CHESF,SAN MARTIN,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
97,202300977,2023-01-14 0:00:00,9:49:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,AV RECIFE,RUA SENADOR ALBERTO PASQUALINI,CRUZAMENTO C/A RUA SEN ALBERTO PASQUALINI - SENTIDO BOA VIAGEM - PRÓXIMO AO LAB CERPE.,ESTÂNCIA,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
