_id,data,hora,natureza_acidente,situacao,bairro,endereco,complemento,bairro_cruzamento,tipo_acidente,carro,moto,ciclista,pedestre,onibus,caminhao,viatura,vitimas_não_fatais,vitimas_fatais,Mes
31,2023-01-05,04:26:00,COM VÍTIMA,FINALIZADA,TORRÕES,TORRÕES,E/F A MICHEL ELETRICA  S/T BR,TORRÕES,COLISÃO COM CICLISTA,0,0,1,0,1,0,0,1,0,1
32,2023-01-05,12:00:00,COM VÍTIMA,DUPLICIDADE,MANGUEIRA,MANGUEIRA,Não informado,MANGUEIRA,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0,1
33,2023-01-05,05:13:00,COM VÍTIMA,FINALIZADA,MANGUEIRA,MANGUEIRA,EM FRENTE AO ATACAREJO SHOPPING,MANGUEIRA,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0,1
34,2023-01-06,07:32:00,COM VÍTIMA,FINALIZADA,GRAÇAS,GRAÇAS,AO LADO DA CHEVROLET,GRAÇAS,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
35,2023-01-06,08:57:00,VÍTIMA FATAL,FINALIZADA,CORDEIRO,CORDEIRO,AO LADO DO HOSPITAL GETULIO VARGAS,CORDEIRO,ATROPELAMENTO DE PESSOA,0,1,0,1,0,0,0,0,1,1
36,2023-01-06,10:22:00,COM VÍTIMA,FINALIZADA,SANCHO,SANCHO,EM FRENTE AO CEMITÉRIO PARQUE DAS FLORES,SANCHO,ATROPELAMENTO DE PESSOA,0,1,0,1,0,0,0,1,0,1
37,2023-01-06,11:20:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,PRÓX. À CASA DE FESTAS PLANETA A,CASA AMARELA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
38,2023-01-06,11:34:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,PROX. RC COMPONENTES,IMBIRIBEIRA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
39,2023-01-06,12:53:00,SEM VÍTIMA,FINALIZADA,IPSEP,IPSEP,EM FRENTE A LOJA DE VEÍCULOS SPORTCAR,IPSEP,COLISÃO TRANSVERSAL,0,1,0,0,0,0,1,0,0,1
40,2023-01-06,01:49:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,RESTAURANTE PONTEIO,BOA VIAGEM,COLISÃO COM CICLISTA,0,0,1,0,1,0,0,1,0,1
41,2023-01-06,04:16:00,COM VÍTIMA,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,NA RUA DA QUITANDARIA  PROX A IGREJA DA ESTRADA DE BELEM,ENCRUZILHADA,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
42,2023-01-06,05:16:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,E/F AO TACARUNA   NA PARADA DE ONIBUS  S/T OLINDA,SANTO AMARO,ATROPELAMENTO DE PESSOA,0,0,0,1,1,0,0,1,0,1
43,2023-01-06,10:11:00,COM VÍTIMA,CANCELADA,VÁRZEA,VÁRZEA,PROX. AO HOSPITAL HAPIVIDA,VÁRZEA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
44,2023-01-06,11:17:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,DB DIAGNÓSTICO,BOA VIAGEM,CHOQUE,2,0,0,0,0,0,0,0,0,1
45,2023-01-07,06:12:00,COM VÍTIMA,FINALIZADA,DERBY,DERBY,"EM FRENTE AO TRIBUNAL REGIONAL, SENT. BOA VIAGEM",DERBY,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
46,2023-01-07,08:17:00,SEM VÍTIMA,FINALIZADA,COHAB,COHAB,APÓS A SEMENTEIRA DO JACARE,COHAB,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1
47,2023-01-07,04:57:00,COM VÍTIMA,FINALIZADA,ILHA DO RETIRO,ILHA DO RETIRO,PROX A LOJA DE PNEUS DUN LOPES,ILHA DO RETIRO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
48,2023-01-07,06:16:00,SEM VÍTIMA,FINALIZADA,CAXANGÁ,CAXANGÁ,NO MEIO DO VIADUTO,CAXANGÁ,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,1
49,2023-01-07,11:09:00,SEM VÍTIMA,FINALIZADA,IBURA,IBURA,Não informado,IBURA,COLISÃO TRASEIRA,1,0,0,0,0,0,1,0,0,1
50,2023-01-08,11:25:00,COM VÍTIMA,FINALIZADA,IPUTINGA,IPUTINGA,PROX AO COLEGIO SEDEC,IPUTINGA,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
51,2023-01-08,01:13:00,COM VÍTIMA,FINALIZADA,PINA,PINA,DE FRENTE A PRF,PINA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
52,2023-01-08,07:31:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,DESCIDA DO MORRO DA CONCEIÇÃO,CASA AMARELA,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,2,0,1
53,2023-01-09,07:55:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,"SOBRE O VIADUTO, EM FRENTE A JEEP / SENTIDO BOA VIAGEM",SANTO AMARO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
54,2023-01-09,08:54:00,COM VÍTIMA,FINALIZADA,MANGABEIRA,MANGABEIRA,EM FRENTE A PIZZARIA IMPÉRIO,MANGABEIRA,COLISÃO TRASEIRA,0,1,0,0,1,0,0,1,0,1
56,2023-01-09,12:18:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,PROX AO BREGOSO BUGUER,CASA AMARELA,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
57,2023-01-09,01:13:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,POR TRÁS DO GRAU TÉCNICO,IMBIRIBEIRA,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
58,2023-01-09,03:22:00,SEM VÍTIMA,FINALIZADA,IBURA,IBURA,RECIFE FERRAGENS,IBURA,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,1
59,2023-01-09,03:47:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,PRÓXIMO A PRAÇA DA CAVALARIA,SAN MARTIN,COLISÃO TRANSVERSAL,1,0,0,0,0,0,1,0,0,1
60,2023-01-09,06:41:00,COM VÍTIMA,FINALIZADA,MADALENA,MADALENA,ASTRAL MULTI MARCAS,MADALENA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
61,2023-01-10,08:08:00,COM VÍTIMA,FINALIZADA,GRAÇAS,GRAÇAS,TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO,GRAÇAS,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
62,2023-01-10,10:32:00,COM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,EM FRENTE AO MERCADINHO NOSSA SENHORA DO CARMO,BOA VISTA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
63,2023-01-10,01:25:00,COM VÍTIMA,FINALIZADA,PAISSANDU,PAISSANDU,LADO OPOSTO AO REAL HOSPITAL PORTUGUÊS,PAISSANDU,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0,1
64,2023-01-10,01:30:00,COM VÍTIMA,FINALIZADA,PAISSANDU,PAISSANDU,BANCO SAFRA,PAISSANDU,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
65,2023-01-11,06:37:00,SEM VÍTIMA,FINALIZADA,TEJIPIÓ,TEJIPIÓ,AO LADO DA TONY ALBUQUERQUE DELICATESEN,TEJIPIÓ,CHOQUE,1,0,0,0,0,0,0,0,0,1
66,2023-01-11,10:14:00,COM VÍTIMA,FINALIZADA,JORDÃO,JORDÃO,PROX AO AEROPORTO,JORDÃO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
67,2023-01-11,11:11:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,PROX. AO HOSPITAL DA MARINHA,SANTO AMARO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
68,2023-01-11,03:59:00,COM VÍTIMA,FINALIZADA,ÁGUA FRIA,ÁGUA FRIA,FARMÁCIA DO TRABALHADOR / ELIANE BOUTIQUE,ÁGUA FRIA,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
69,2023-01-11,05:29:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,EM FRENTE A FARMACIA DROGASIL,BOA VIAGEM,COLISÃO TRASEIRA,0,0,0,0,2,0,0,4,0,1
70,2023-01-11,07:11:00,COM VÍTIMA,FINALIZADA,PINA,PINA,EM FRENTE A JBS MOTORS,PINA,COLISÃO FRONTAL,0,0,1,0,0,0,0,1,0,1
71,2023-01-11,07:44:00,COM VÍTIMA,FINALIZADA,IPUTINGA,IPUTINGA,COLÉGIO INSTITUTO SANTA TEREZINHA,IPUTINGA,COLISÃO FRONTAL,1,0,1,0,0,0,0,1,0,1
72,2023-01-12,08:36:00,COM VÍTIMA,FINALIZADA,ROSARINHO,ROSARINHO,PROXIMO A DELICATESSEN ROSARINHO,ROSARINHO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
73,2023-01-12,09:04:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,PRÓXIMO À ESTAÇÃO DA MARINHA,BOA VIAGEM,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
74,2023-01-12,10:45:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,EM FRENTE A CHESF,SAN MARTIN,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
75,2023-01-12,12:09:00,COM VÍTIMA,FINALIZADA,AREIAS,AREIAS,EM FRENTE AO BIG BOMPREÇO DA AV RECIFE,AREIAS,COLISÃO TRASEIRA,0,2,0,0,0,0,0,2,0,1
76,2023-01-12,01:11:00,COM VÍTIMA,FINALIZADA,CAXANGÁ,CAXANGÁ,EM FRENTE A CONCESSIONARIA ITALIANA,CAXANGÁ,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
77,2023-01-12,02:21:00,COM VÍTIMA,FINALIZADA,IPUTINGA,IPUTINGA,PROXIMO AO ALTINO VENTURA E A AUTO FILME EQUIPADORA,IPUTINGA,COLISÃO FRONTAL,1,1,0,0,0,0,0,2,0,1
78,2023-01-12,05:03:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,E/F AO RESTAURANTE DOM FERREIRA FORNERIA,BOA VIAGEM,COLISÃO TRASEIRA,0,1,0,0,1,0,0,1,0,1
79,2023-01-12,05:24:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,EM FRENTE A IGREJA PENTECOSTAL,SAN MARTIN,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
80,2023-01-12,05:54:00,COM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,SANTO ANTÔNIO,EM FRENTE A OAB,SANTO ANTÔNIO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
81,2023-01-12,07:57:00,COM VÍTIMA,FINALIZADA,IPSEP,IPSEP,EM FRENTE A LOJA DE BATERIAS  HELIAR,IPSEP,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0,1
82,2023-01-13,11:09:00,COM VÍTIMA,FINALIZADA,MADALENA,MADALENA,PROX. AO POSTO DE GASOLINA IPIRANGA,MADALENA,COLISÃO LATERAL,1,0,0,0,1,0,0,1,0,1
83,2023-01-13,11:25:00,COM VÍTIMA,FINALIZADA,AFOGADOS,AFOGADOS,EM FRENTE A FEIRA LIVRE DE AFOGADOS E O MERCADO PÚBLICO.  NO SENTIDO MADALENA  / IMBIRIBEIRA,AFOGADOS,ATROPELAMENTO DE PESSOA,0,0,0,1,0,1,0,1,0,1
84,2023-01-13,01:46:00,SEM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,CATIA MODAS,CASA AMARELA,COLISÃO TRASEIRA,1,0,0,0,0,0,1,0,0,1
85,2023-01-13,02:05:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,EM FRENTE AO HOTEL NACIONAL,BOA VIAGEM,COLISÃO LATERAL,0,1,0,0,0,1,0,1,0,1
86,2023-01-13,04:31:00,COM VÍTIMA,CANCELADA,IMBIRIBEIRA,IMBIRIBEIRA,EM FRENTE ADVENTURE  RACING /SENTIDO AFOGADOS,IMBIRIBEIRA,COLISÃO TRASEIRA,0,1,0,0,0,1,0,1,0,1
87,2023-01-13,05:23:00,COM VÍTIMA,FINALIZADA,ILHA JOANA BEZERRA,ILHA JOANA BEZERRA,INÍCIO DO VIADUTO PAPA JOÃO PAULO II - FÓRUM JOANA BEZERRA,ILHA JOANA BEZERRA,COLISÃO TRASEIRA,0,0,0,0,0,0,0,1,0,1
88,2023-01-13,05:59:00,COM VÍTIMA,FINALIZADA,JORDÃO,JORDÃO,"JORDÃO BAIXO SENTIDO CENTRO SUBÚRBIO ENVOLVIDOS V-1 RZQ2B99 MOTOCICLETA , V-2 PCS 3C40 ,",JORDÃO,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
89,2023-01-13,07:45:00,COM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,Não informado,BOA VISTA,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
90,2023-01-14,09:00:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,EM FRENTE AO SESC DE CASA AMARELA,CASA AMARELA,COLISÃO LATERAL,1,0,0,0,1,0,0,1,0,1
91,2023-01-14,09:04:00,COM VÍTIMA,FINALIZADA,CIDADE UNIVERSITÁRIA,CIDADE UNIVERSITÁRIA,PROX AO CEMITÉRIO DA VÁRZEA,CIDADE UNIVERSITÁRIA,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0,1
92,2023-01-14,09:24:00,COM VÍTIMA,FINALIZADA,ESPINHEIRO,ESPINHEIRO,PORTRÁS DA ESCOLA ITEPAN,ESPINHEIRO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
93,2023-01-14,09:55:00,COM VÍTIMA,FINALIZADA,SANCHO,SANCHO,EM FRENTE A FARMÁCIA DROGASIL,SANCHO,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
94,2023-01-14,02:26:00,COM VÍTIMA,FINALIZADA,IPSEP,IPSEP,EM FRENTE AO ANTIGO BOMPREÇO / SENTIDO BOA VIAGEM,IPSEP,COLISÃO TRASEIRA,0,2,0,0,0,0,0,1,0,1
95,2023-01-14,03:02:00,COM VÍTIMA,FINALIZADA,PINA,PINA,RUA MANOEL CORIOLANO,PINA,COLISÃO COM CICLISTA,1,0,1,0,0,0,0,1,0,1
96,2023-01-14,06:52:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,CHESF,SAN MARTIN,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
97,2023-01-14,09:49:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,ESTÂNCIA,CRUZAMENTO C/A RUA SEN ALBERTO PASQUALINI - SENTIDO BOA VIAGEM - PRÓXIMO AO LAB CERPE.,ESTÂNCIA,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0,1
98,2023-01-15,09:06:00,COM VÍTIMA,FINALIZADA,FUNDÃO,FUNDÃO,EM FRENTE A ACADEMIA DA CIDADE,FUNDÃO,TOMBAMENTO,0,1,0,0,0,0,0,1,0,1
99,2023-01-15,09:29:00,COM VÍTIMA,FINALIZADA,APIPUCOS,APIPUCOS,PRÓXIMO AO FRENTE AO AÇUDE DE APIPUCOS,APIPUCOS,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
100,2023-01-15,11:39:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,EM FRENTE A CHESF,SAN MARTIN,COLISÃO LATERAL,0,2,0,0,0,0,0,1,0,1
101,2023-01-15,11:48:00,COM VÍTIMA,FINALIZADA,ENCRUZILHADA,ENCRUZILHADA,ESQUINA COM A CONCESSIONÁRIA DA RENAULT REGENCE,ENCRUZILHADA,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0,1
102,2023-01-16,12:38:00,COM VÍTIMA,CANCELADA,CORDEIRO,CORDEIRO,SEMÁFORO 080,CORDEIRO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
103,2023-01-16,09:22:00,SEM VÍTIMA,FINALIZADA,VÁRZEA,VÁRZEA,UPA DA CAXANGÁ,VÁRZEA,ATROPELAMENTO DE ANIMAL,1,0,0,0,0,0,0,0,0,1
104,2023-01-16,10:40:00,COM VÍTIMA,FINALIZADA,BOMBA DO HEMETÉRIO,BOMBA DO HEMETÉRIO,EM FRENTE A FUNERARIA CANAA,BOMBA DO HEMETÉRIO,COLISÃO LATERAL,1,1,0,0,0,0,11,1,0,1
105,2023-01-16,12:09:00,COM VÍTIMA,FINALIZADA,PINA,PINA,PRÓX. À IGREJA DO PINA,PINA,COLISÃO TRASEIRA,1,1,0,0,0,0,0,2,0,1
106,2023-01-16,01:24:00,COM VÍTIMA,FINALIZADA,MADALENA,MADALENA,EM FRENTE AO EDIFICIO QUATRO ESTAÇÕES,MADALENA,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
107,2023-01-16,07:01:00,COM VÍTIMA,FINALIZADA,TAMARINEIRA,TAMARINEIRA,POR TRÁS DO NEXOS HOTEL,TAMARINEIRA,COLISÃO LATERAL,0,2,0,0,0,0,0,2,0,1
108,2023-01-16,08:33:00,COM VÍTIMA,FINALIZADA,BARRO,BARRO,EM FRENTE AO CLUBE UMUARAMA,BARRO,COLISÃO LATERAL,1,0,1,0,0,0,0,1,0,1
109,2023-01-16,10:05:00,COM VÍTIMA,CANCELADA,MADALENA,MADALENA,E/F AO EDF REGIA - ESQUINA DO COLÉGIO EQUIPE,MADALENA,COLISÃO TRASEIRA,0,2,0,0,0,0,0,2,0,1
110,2023-01-17,12:34:00,SEM VÍTIMA,CANCELADA,AFOGADOS,AFOGADOS,COM A ESTRADA DO BONGI,AFOGADOS,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0,1
111,2023-01-17,07:54:00,COM VÍTIMA,FINALIZADA,JORDÃO,JORDÃO,PROX. BORRACHARIA ELSHADAY,JORDÃO,COLISÃO FRONTAL,0,2,0,0,0,0,0,1,0,1
112,2023-01-17,08:21:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,SAN MARTIN,AO LADO DA CHESF,SAN MARTIN,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,1
113,2023-01-17,10:40:00,COM VÍTIMA,FINALIZADA,CASA FORTE,CASA FORTE,EM FRENTE AO CPOR,CASA FORTE,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0,1
114,2023-01-17,10:51:00,COM VÍTIMA,FINALIZADA,AFOGADOS,AFOGADOS,SOB O SEMAFORO,AFOGADOS,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0,1
115,2023-01-17,11:32:00,COM VÍTIMA,FINALIZADA,CAXANGÁ,CAXANGÁ,EM FRENTE A IGREJA UNVERSAL,CAXANGÁ,ATROPELAMENTO DE PESSOA,1,1,0,1,0,0,0,2,0,1
116,2023-01-17,11:44:00,COM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,JARDIM SÃO PAULO,EM FRENTE À LOTERIA LIBERDADE,JARDIM SÃO PAULO,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0,1
117,2023-01-17,12:16:00,COM VÍTIMA,FINALIZADA,DERBY,DERBY,PROX AO RESTAURANTE COCO BAMBU,DERBY,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,2,0,1
118,2023-01-17,02:52:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,EM FRENTE A POLICLINICA WALDEMAR DE OLIVEIRA,SANTO AMARO,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0,1
119,2023-01-17,05:48:00,COM VÍTIMA,FINALIZADA,TEJIPIÓ,TEJIPIÓ,EM FRENTE AO CONDOMINIO MONTEIRO LOBATO,TEJIPIÓ,CHOQUE,0,1,0,0,0,0,0,1,0,1
120,2023-01-18,07:30:00,SEM VÍTIMA,FINALIZADA,LINHA DO TIRO,LINHA DO TIRO,EM FRENTE AO CAMPO DO CAFÉ,LINHA DO TIRO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1
121,2023-01-18,08:53:00,COM VÍTIMA,FINALIZADA,MADALENA,MADALENA,EM FRENTE AO CERPE,MADALENA,COLISÃO TRASEIRA,1,1,0,0,0,1,0,1,0,1
