Código da Etapa;Etapa;Código da Rede;Rede;Código da CREDE;CREDE;Código do Município;Município;Edição;Proficiência Média;Desvio Padrão;Indicação do Padrão de Desempenho;Muito Crítico;Crítico;Intermediário;Adequado;População;Alunos Efetivos;Alunos Efetivos (Ponderado)¹;Percentual de Participação (Ponderado)¹;Taxa de Participação;Proficiência Padronizada;Fator de Ajuste;Número de Alunos no Muito Crítico;Número de Alunos no Crítico;Número de Alunos no Intermediário;Número de Alunos no Adequado;IDE EF MT;IDE Médio EF
9;9º Ano do Ensino Fundamental;1;ESTADUAL;5;TIANGUA;2305308;IBIAPINA;2012;251,5616565;38,55823739;Crítico;27,5862069;41,37931034;27,5862069;3,448275862;31;29;-;93,5483871;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;5;TIANGUA;2312304;SAO BENEDITO;2012;259,7284422;46,05819258;Crítico;25,51020408;37,24489796;27,55102041;9,693877551;214;196;-;91,58878505;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;6;SOBRAL;2312007;SANTANA DO ACARAU;2012;246,787892;42,87481125;Crítico;32,25806452;45,16129032;19,35483871;3,225806452;37;31;-;83,78378378;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;6;SOBRAL;2312908;SOBRAL;2012;251,9950225;46,97631984;Crítico;29,82758621;36,12068966;28,57758621;5,474137931;2580;2320;-;89,92248062;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;7;CANINDE;2302800;CANINDE;2012;260,5817952;47,23519169;Crítico;18,75;38,75;35;7,5;84;80;-;95,23809524;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;8;BATURITE;2300150;ACARAPE;2012;242,4421259;42,48607146;Crítico;42,35294118;34,11764706;21,17647059;2,352941176;91;85;-;93,40659341;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;8;BATURITE;2302107;BATURITE;2012;249,8867457;43,33191764;Crítico;31,81818182;36,36363636;27,27272727;4,545454545;75;66;-;88;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;8;BATURITE;2311603;REDENCAO;2012;245,4729445;36,29371055;Crítico;27,02702703;51,35135135;18,91891892;2,702702703;48;37;-;77,08333333;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;9;HORIZONTE;2303501;CASCAVEL;2012;245,844469;45,27290215;Crítico;35,41666667;35,41666667;25;4,166666667;50;48;-;96;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;10;RUSSAS;2311801;RUSSAS;2012;255,4671033;44,54982352;Crítico;27,55102041;39,79591837;26,53061224;6,12244898;124;98;-;79,03225806;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;10;RUSSAS;2313104;TABULEIRO DO NORTE;2012;259,177858;39,42710366;Crítico;16,12903226;48,38709677;32,25806452;3,225806452;34;31;-;91,17647059;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;11;JAGUARIBE;2306009;IRACEMA;2012;235,0066344;46,80220902;Crítico;43,66197183;39,43661972;12,67605634;4,225352113;78;71;-;91,02564103;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;12;QUIXADA;2302404;BOA VIAGEM;2012;250,4373093;39,90485892;Crítico;23,33333333;50,55555556;23,33333333;2,777777778;212;180;-;84,90566038;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;12;QUIXADA;2311306;QUIXADA;2012;247,1155286;44,99129693;Crítico;33,50253807;42,63959391;18,78172589;5,076142132;211;197;-;93,36492891;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;13;CRATEUS;2304103;CRATEUS;2012;249,9762279;41,07021884;Crítico;29,72972973;42,79279279;24,32432432;3,153153153;260;222;-;85,38461538;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;13;CRATEUS;2305605;INDEPENDENCIA;2012;237,2992309;48,85675259;Crítico;37,83783784;35,13513514;21,62162162;5,405405405;43;37;-;86,04651163;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;13;CRATEUS;2308609;MONSENHOR TABOSA;2012;233,1521504;41,53558224;Crítico;40,78947368;43,42105263;10,52631579;5,263157895;84;76;-;90,47619048;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;13;CRATEUS;2309300;NOVA RUSSAS;2012;245,961638;42,85945306;Crítico;31,25;42,5;23,75;2,5;83;80;-;96,38554217;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;16;IGUATU;2305506;IGUATU;2012;260,9486698;39,04336132;Crítico;12,24489796;53,06122449;30,6122449;4,081632653;49;49;-;100;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;17;ICO;2305704;IPAUMIRIM;2012;248,5982525;36,85531514;Crítico;34,42622951;42,62295082;19,67213115;3,278688525;72;61;-;84,72222222;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;17;ICO;2307502;LAVRAS DA MANGABEIRA;2012;231,9272196;43,02707541;Crítico;46,61016949;37,28813559;14,40677966;1,694915254;126;118;-;93,65079365;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;18;CRATO;2300804;ANTONINA DO NORTE;2012;273,3431931;47,85143525;Crítico;18,42105263;36,84210526;31,57894737;13,15789474;39;38;-;97,43589744;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;18;CRATO;2301307;ARARIPE;2012;258,1887995;29,31599791;Crítico;10,25641026;64,1025641;23,07692308;2,564102564;39;39;-;100;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;18;CRATO;2301604;ASSARE;2012;266,6261722;53,13309549;Crítico;18,42105263;39,47368421;26,31578947;15,78947368;39;38;-;97,43589744;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;18;CRATO;2304202;CRATO;2012;239,8376258;44,35390992;Crítico;40,67114094;37,98657718;17,98657718;3,355704698;841;745;-;88,58501784;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;19;JUAZEIRO DO NORTE;2301901;BARBALHA;2012;253,2772971;47,23165161;Crítico;32,46753247;36,36363636;25,97402597;5,194805195;163;154;-;94,47852761;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;19;JUAZEIRO DO NORTE;2303204;CARIRIACU;2012;248,0580847;37,01278245;Crítico;29,85074627;47,76119403;20,89552239;1,492537313;69;67;-;97,10144928;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;19;JUAZEIRO DO NORTE;2304301;FARIAS BRITO;2012;238,9762036;47,13318158;Crítico;45,09803922;33,33333333;15,68627451;5,882352941;57;51;-;89,47368421;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;19;JUAZEIRO DO NORTE;2307304;JUAZEIRO DO NORTE;2012;251,3066846;43,48183134;Crítico;28,4496124;42,55813953;24,80620155;4,186046512;1453;1290;-;88,7818307;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;20;BREJO SANTO;2300101;ABAIARA;2012;246,8928034;47,91779876;Crítico;38,15789474;34,21052632;23,68421053;3,947368421;79;76;-;96,20253165;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;20;BREJO SANTO;2301703;AURORA;2012;235,7539845;38,83900838;Crítico;42,1319797;40,10152284;15,73604061;2,030456853;220;197;-;89,54545455;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;20;BREJO SANTO;2302008;BARRO;2012;254,8439582;43,84868778;Crítico;25,92592593;35,18518519;34,25925926;4,62962963;160;108;-;67,5;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;20;BREJO SANTO;2302503;BREJO SANTO;2012;259,4112964;48,64868126;Crítico;26,08695652;36,64596273;28,57142857;8,695652174;174;161;-;92,52873563;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;20;BREJO SANTO;2308104;MAURITI;2012;232,9727982;38,32466179;Crítico;44,92753623;42,02898551;11,5942029;1,449275362;71;69;-;97,18309859;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;20;BREJO SANTO;2308401;MISSAO VELHA;2012;248,6459114;41,75443702;Crítico;26,47058824;42,64705882;26,47058824;4,411764706;82;68;-;82,92682927;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;20;BREJO SANTO;2310605;PENAFORTE;2012;283,96324;50,60624683;Intermediário;11,11111111;30,55555556;33,33333333;25;39;36;-;92,30769231;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;1;ESTADUAL;21;FORTALEZA;2304400;FORTALEZA;2012;247,7044148;42,80641041;Crítico;30,85267608;42,75344979;22,89223897;3,50163516;15241;12537;-;82,258382;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2301000;AQUIRAZ;2012;256,2242872;40,36919057;Crítico;22,30769231;47,43589744;25,25641026;5;799;780;-;97,62202753;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2303709;CAUCAIA;2012;238,9749138;42,30751745;Crítico;38,99159664;40,36414566;18,1232493;2,521008403;3858;3570;-;92,53499222;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2304285;EUSEBIO;2012;256,8990872;43,34197195;Crítico;24,26729191;42,32121923;27,90152403;5,50996483;881;853;-;96,82179342;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2304954;GUAIUBA;2012;229,2949145;37,96379058;Crítico;48,37662338;38,31168831;12,66233766;0,649350649;332;308;-;92,77108434;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2306256;ITAITINGA;2012;249,7059666;43,03962413;Crítico;31,69164882;38,11563169;27,8372591;2,355460385;484;467;-;96,48760331;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2307650;MARACANAU;2012;248,1920935;40,12300721;Crítico;29,55700799;43,93609296;23,96514161;2,541757444;2874;2754;-;95,82463466;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2307700;MARANGUAPE;2012;235,6815959;41,74461361;Crítico;41,43780291;40,79159935;16,55896607;1,211631664;1277;1238;-;96,94596711;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;1;MARACANAU;2309706;PACATUBA;2012;240,8514988;41,98731029;Crítico;35,96938776;43,1122449;19,00510204;1,913265306;830;784;-;94,45783133;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2300754;AMONTADA;2012;225,3316663;41,22296265;Crítico;51,71597633;36,92307692;10,17751479;1,183431953;895;845;-;94,41340782;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2300903;APUIARES;2012;228,0053382;42,31797004;Crítico;51,32743363;35,39823009;10,61946903;2,654867257;236;226;-;95,76271186;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2306306;ITAPAJE;2012;233,1474831;41,69203597;Crítico;44,85842027;37,85394933;15,79731744;1,490312966;732;671;-;91,66666667;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2306405;ITAPIPOCA;2012;231,6832485;41,70973199;Crítico;46,63490173;37,99880881;13,51995235;1,846337105;1778;1679;-;94,43194601;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2308377;MIRAIMA;2012;234,3699094;46,26601769;Crítico;43,42629482;37,84860558;15,13944223;3,585657371;268;251;-;93,65671642;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2310209;PARACURU;2012;235,6921115;43,52969949;Crítico;43,27956989;37,7688172;17,33870968;1,612903226;797;744;-;93,35006274;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2310258;PARAIPABA;2012;230,4478129;42,51095952;Crítico;47,73139746;35,93466425;14,70054446;1,633393829;567;551;-;97,17813051;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2310704;PENTECOSTE;2012;227,5858663;40,65062944;Crítico;48,66666667;38,26666667;12,13333333;0,933333333;784;750;-;95,66326531;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2312403;SAO GONCALO DO AMARANTE;2012;240,1480101;47,05661287;Crítico;39,13690476;37,64880952;18,60119048;4,613095238;686;672;-;97,95918367;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2312601;SAO LUIS DO CURU;2012;222,3196903;39,25216446;Muito Crítico;54,59183673;34,69387755;10,20408163;0,510204082;209;196;-;93,77990431;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2313351;TEJUCUOCA;2012;240,3638908;40,88970253;Crítico;37,26235741;44,10646388;15,58935361;3,041825095;284;263;-;92,6056338;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2313500;TRAIRI;2012;221,7591036;42,15477956;Muito Crítico;58,38509317;28,19875776;12,54658385;0,869565217;846;805;-;95,1536643;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2313559;TURURU;2012;233,2555961;42,2653037;Crítico;45,61403509;35,96491228;16,95906433;1,461988304;359;342;-;95,26462396;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2313757;UMIRIM;2012;224,0439185;39,15186276;Muito Crítico;54,44444444;35,83333333;8,055555556;1,666666667;365;360;-;98,63013699;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;2;ITAPIPOCA;2313807;URUBURETAMA;2012;220,5155341;42,05797891;Muito Crítico;57,84061697;32,90488432;8,22622108;1,028277635;418;389;-;93,06220096;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;3;ACARAU;2300200;ACARAU;2012;247,2788266;39,51634366;Crítico;31,47914033;43,36283186;22,62958281;2,528445006;874;791;-;90,50343249;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;3;ACARAU;2302305;BELA CRUZ;2012;237,2035385;44,79665036;Crítico;41,45936982;38,47429519;16,58374793;3,482587065;621;603;-;97,10144928;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;3;ACARAU;2304251;CRUZ;2012;252,8953077;48,05652845;Crítico;29,76827094;35,65062389;27,09447415;7,486631016;577;561;-;97,2270364;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;3;ACARAU;2306553;ITAREMA;2012;235,5826927;46,24895418;Crítico;43,15789474;34,34210526;20,13157895;2,368421053;804;760;-;94,52736318;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;3;ACARAU;2307254;JIJOCA DE JERICOACOARA;2012;267,9720693;42,86060985;Crítico;15,69767442;39,24418605;37,79069767;7,26744186;352;344;-;97,72727273;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;3;ACARAU;2307809;MARCO;2012;239,71987;43,39696513;Crítico;39,83193277;37,31092437;20,50420168;2,352941176;604;595;-;98,50993377;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;3;ACARAU;2308906;MORRINHOS;2012;244,2143962;45,93932062;Crítico;36,74033149;37,84530387;20,71823204;4,696132597;371;362;-;97,57412399;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;4;CAMOCIM;2302057;BARROQUINHA;2012;223,3696615;38,09074389;Muito Crítico;55,14705882;34,19117647;9,558823529;1,102941176;283;272;-;96,1130742;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;4;CAMOCIM;2302602;CAMOCIM;2012;238,0455008;42,24533967;Crítico;39,87667009;39,67112025;18,29393628;2,158273381;1036;973;-;93,91891892;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;4;CAMOCIM;2303907;CHAVAL;2012;230,752873;37,35653074;Crítico;45,81673307;43,8247012;9,561752988;0,796812749;280;251;-;89,64285714;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;4;CAMOCIM;2304707;GRANJA;2012;223,3411003;42,24318533;Muito Crítico;55,55555556;31,63698049;11,45038168;1,357082273;1242;1179;-;94,92753623;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;4;CAMOCIM;2307908;MARTINOPOLE;2012;244,3525996;42,38323224;Crítico;30,56994819;42,48704663;23,31606218;3,626943005;210;193;-;91,9047619;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;4;CAMOCIM;2313906;URUOCA;2012;242,0429044;41,77732991;Crítico;35,88516746;40,19138756;22,00956938;1,913875598;231;209;-;90,47619048;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2303402;CARNAUBAL;2012;251,4432425;49,92112446;Crítico;32,73273273;35,43543544;23,72372372;8,108108108;351;333;-;94,87179487;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2304236;CROATA;2012;213,7792813;43,55711944;Muito Crítico;65,86826347;25,1497006;6,586826347;2,395209581;341;334;-;97,94721408;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2305001;GUARACIABA DO NORTE;2012;253,4827292;47,46721364;Crítico;30,52464229;35,13513514;28,13990461;6,200317965;642;629;-;97,97507788;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2305308;IBIAPINA;2012;239,7208279;39,85436578;Crítico;34,79452055;47,94520548;14,79452055;2,465753425;396;365;-;92,17171717;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2305803;IPU;2012;222,8915093;36,25276528;Muito Crítico;54,74747475;35,95959596;8,888888889;0,404040404;611;495;-;81,01472995;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2312304;SAO BENEDITO;2012;245,5079154;42,06178151;Crítico;33,13609467;41,02564103;22,87968442;2,958579882;552;507;-;91,84782609;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2313401;TIANGUA;2012;240,3679225;45,24098927;Crítico;38,63453815;39,437751;17,26907631;4,658634538;1313;1245;-;94,82102056;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2313609;UBAJARA;2012;253,8962134;44,2776575;Crítico;25;44,73684211;23,94736842;6,315789474;400;380;-;95;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;5;TIANGUA;2314102;VICOSA DO CEARA;2012;252,5912593;47,31173786;Crítico;30,6122449;36,6419295;25,32467532;7,421150278;1119;1078;-;96,3360143;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2300507;ALCANTARAS;2012;250,5049661;43,31421548;Crítico;27,83505155;43,29896907;24,74226804;4,12371134;204;194;-;95,09803922;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2303105;CARIRE;2012;262,153581;48,58879269;Crítico;27,36156352;31,27035831;30,94462541;10,42345277;312;307;-;98,3974359;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2304004;COREAU;2012;237,7804512;49,88975142;Crítico;45,16908213;30,6763285;19,80676329;4,347826087;439;414;-;94,30523918;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2304350;FORQUILHA;2012;239,0545147;43,48556171;Crítico;37,67313019;41,55124654;18,28254848;2,493074792;364;361;-;99,17582418;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2304509;FRECHEIRINHA;2012;248,7497091;44,12570828;Crítico;31,79723502;39,17050691;23,96313364;5,069124424;228;217;-;95,1754386;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2304657;GRACA;2012;243,3631587;42,69119215;Crítico;35,13513514;42,85714286;18,53281853;3,474903475;278;259;-;93,16546763;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2304905;GROAIRAS;2012;271,4624376;50,61279415;Crítico;19,88304094;29,8245614;38,01169591;12,28070175;175;171;-;97,71428571;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2305209;HIDROLANDIA;2012;239,5009687;47,66159283;Crítico;40,34482759;37,5862069;16,20689655;5,862068966;300;290;-;96,66666667;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2306108;IRAUCUBA;2012;251,9512452;52,16763386;Crítico;34,16149068;33,33333333;22,77432712;9,730848861;491;483;-;98,3706721;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2308005;MASSAPE;2012;229,1609116;44,01820086;Crítico;49,23469388;34,18367347;14,66836735;1,913265306;838;784;-;93,55608592;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2308203;MERUOCA;2012;258,4738492;42,52508317;Crítico;23,04526749;38,27160494;34,1563786;4,526748971;248;243;-;97,98387097;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2308807;MORAUJO;2012;244,3989959;45,17333346;Crítico;38,68613139;35,76642336;21,89781022;3,649635036;141;137;-;97,16312057;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2309003;MUCAMBO;2012;261,8119829;49,4479271;Crítico;25,74257426;33,66336634;31,02310231;9,570957096;325;303;-;93,23076923;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2309904;PACUJA;2012;223,4022697;40,80864823;Muito Crítico;51,51515152;36,36363636;11,11111111;1,01010101;103;99;-;96,11650485;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2310951;PIRES FERREIRA;2012;247,0719805;44,43719022;Crítico;33,72781065;37,86982249;22,4852071;5,917159763;170;169;-;99,41176471;-;-;-;-;-;-;-;-;-
9;9º Ano do Ensino Fundamental;2;MUNICIPAL;6;SOBRAL;2311702;RERIUTABA;2012;247,1700956;54,4500761;Crítico;38,28996283;32,71375465;21,18959108;7,80669145;278;269;-;96,76258993;-;-;-;-;-;-;-;-;-
